OTUId	10_Tt_Microcerotermes_parvus	11_Tt_Microcerotermes_sp	12_Tt_Neocapritermes	13_Tt_Ophiotermes_sp	14_Tt_Proboscitermes	15_Nt_Atlantitermes_sp	16_Nt_Nasutitermes_corniger	17_Nt_Nasutitermes_takasagoensis	18_Nt_Nasutitermitinae_Unclassified	19_Nt_Trinervitermes_sp	1_Mt_Macrotermes_sp	2_Mt_Macrotermes_subhyalinus	3_Mt_Odontotermes_sp	4_St_Cornitermes_sp	5_At_Apicotermes_trestus	6_Tt_Termes_hospes	7_Tt_Cubitermes_sp	8_Tt_Cubitermes_ugandensis	9_Tt_Amitermes_meridionalis
OTU_33305	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19013	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27777	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_897	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6967	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19458	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25846	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5850	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3048	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7294	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_17108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16337	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11267	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8448	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_60	1	0	1	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0
OTU_26004	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19893	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23595	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_696	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7060	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16324	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4954	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_218	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0
OTU_8256	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_2838	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2974	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10639	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18268	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_9109	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_19455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11016	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_983	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1022	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14886	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20845	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6465	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_24281	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_719	13	0	2	0	1	1	0	0	1	0	0	0	0	3	0	1	3	0	0
OTU_22682	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8773	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_902	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31791	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2902	2	0	1	0	6	0	0	0	0	0	0	0	1	2	0	1	0	0	0
OTU_15875	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8517	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18983	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7595	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_34204	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1087	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5935	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28806	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7258	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_737	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_8205	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_468	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12459	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1824	11	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
OTU_23322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26214	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_21961	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35305	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16493	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_572	1	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2591	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5062	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
