	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
ahnk	2062	2515	1354	2021	497	555	668	668	2306	520	1250	741
ahr	212	232	255	269	122	186	742	742	341	122	314	111
ahsa1	477	590	473	334	232	400	1546	1546	1480	561	821	406
aida	1710	1752	1340	853	354	798	4187	4187	1727	594	1181	421
aifm1	445	492	409	311	168	361	1765	1765	755	273	434	232
aifm2	29	44	49	45	30	70	172	172	82	18	56	41
aim1	965	1758	450	1170	225	289	879	879	1020	312	648	419
ajuba	80	142	78	43	13	30	47	47	50	18	63	16
ak1a1	1213	1039	922	751	434	532	1606	1606	1660	625	626	357
aka10	593	849	515	512	101	199	804	804	1713	576	1247	565
aka11	1070	2055	898	1094	172	236	967	967	709	206	463	213
aka12	147	259	1011	87	15	31	142	142	246	111	329	121
aka7g	35	53	40	23	35	63	594	594	57	13	58	18
akap1	375	404	207	206	131	233	533	533	402	119	338	184
akap2	92	102	66	79	19	38	224	224	183	20	168	69
akap3	95	94	66	54	94	132	123	123	30	17	30	21
akap5	65	140	31	58	120	128	438	438	55	6	40	16
akap8	1272	1775	1636	958	458	490	1367	1367	1161	276	397	276
akap9	1235	2384	1656	1442	369	561	2830	2830	1868	497	1238	676
akcl2	33	38	17	24	8	25	52	52	127	71	107	54
akib1	291	380	227	211	57	113	766	766	888	254	614	268
akip1	279	344	168	213	193	134	434	434	220	76	130	28
akna	1044	759	287	585	467	607	1012	1012	1855	490	1100	582
akp13	1366	1366	1039	818	557	857	2872	2872	984	177	611	439
akp8l	269	294	210	173	232	186	468	468	326	72	151	71
akt2	844	779	530	397	215	461	1891	1891	957	264	667	287
akt3	152	98	84	98	16	27	26	26	135	37	101	55
aktip	68	63	36	57	9	25	78	78	389	117	302	87
akts1	162	251	188	119	53	94	135	135	99	24	60	27
al14e	428	700	564	438	93	161	546	546	1374	513	1060	453
al1a1	143	584	160	227	317	624	1942	1942	4085	1889	2509	1300
al1l1	46	92	59	41	27	33	45	45	46	2	15	14
al1l2	23	34	25	18	6	10	68	68	77	30	30	42
al3a2	81	116	65	87	88	170	528	528	247	74	239	99
al3b1	119	153	85	79	201	123	139	139	69	23	53	16
al4a1	274	264	236	135	130	175	322	322	442	159	230	104
al7a1	231	317	192	174	140	247	732	732	335	142	194	134
al9a1	389	487	259	251	115	294	802	802	934	365	834	359
aldh2	2090	2337	2296	1028	306	586	1601	1601	2103	602	919	445
aldoa	2398	2366	2389	1452	1274	2210	5621	5621	3110	1126	2154	903
aldob	222	484	295	175	7	32	72	72	249	19	71	28
alg1	110	104	73	65	129	129	174	174	163	58	169	71
alg11	460	570	195	421	36	53	289	289	176	43	164	72
alg12	97	151	118	63	412	311	472	472	257	77	165	100
alg13	154	241	99	121	130	140	377	377	331	102	213	82
alg14	153	167	95	107	183	248	901	901	128	44	84	55
alg2	505	768	427	327	30	67	221	221	247	118	213	92
alg3	178	188	175	83	54	125	305	305	116	32	78	42
alg6	520	985	574	377	84	64	444	444	150	56	133	51
alg8	136	242	210	115	55	74	361	361	426	142	238	147
alg9	429	519	582	233	31	65	149	149	184	45	83	45
alkb1	50	40	112	21	12	18	45	45	136	47	93	54
alkb3	152	159	119	78	81	75	143	143	150	36	108	61
alkb4	117	128	35	55	24	58	119	119	97	26	72	34
alkb8	95	163	112	99	12	13	67	67	54	6	37	17
alms1	402	912	483	423	75	115	644	644	410	119	171	127
alpk1	108	88	116	93	38	67	162	162	150	50	127	88
als2	244	255	276	214	53	68	796	796	602	170	307	172
amacr	259	279	188	154	24	40	94	94	152	50	84	21
amer1	147	170	148	131	95	290	2506	2506	470	136	274	156
amerl	602	870	639	510	120	200	683	683	580	161	327	175
amfr	998	898	856	519	87	203	634	634	2230	725	955	600
amol1	86	109	80	65	167	274	805	805	708	154	500	274
amol2	92	88	74	54	14	20	97	97	117	31	83	30
amot	14	23	5	19	8	12	38	38	96	15	64	29
