	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
mad1	351	320	249	235	53	124	518	518	80	13	61	39
mad4	1167	1350	1140	585	336	601	1359	1359	1084	378	813	294
madd	269	260	102	181	103	175	637	637	211	45	151	78
maea	612	801	537	430	244	421	1482	1482	1102	382	729	345
mafg	101	86	88	73	182	324	1140	1140	74	21	41	31
mafk	443	322	319	218	134	428	1969	1969	441	120	341	148
magd1	430	558	551	338	191	314	995	995	179	51	172	49
magd2	147	183	99	101	55	93	208	208	366	131	197	103
magd4	510	549	389	414	561	332	613	613	149	36	93	35
magg1	379	541	314	246	89	270	645	645	612	289	496	194
magh1	571	1017	659	495	85	208	521	521	658	318	545	197
magi3	356	386	214	241	57	64	194	194	284	68	214	83
magt1	444	531	306	325	249	533	2971	2971	799	314	790	354
mak16	352	532	229	280	125	156	571	571	619	227	551	214
malt1	581	750	233	434	224	225	291	291	597	191	262	161
maml1	247	219	179	144	88	125	392	392	350	110	215	134
maml2	94	87	60	56	26	47	95	95	86	17	55	44
man1	586	953	670	439	130	224	1029	1029	770	269	531	196
manba	67	108	28	52	15	38	194	194	693	209	307	216
manea	68	102	71	56	3	17	82	82	127	32	108	68
maom	745	827	594	442	255	407	2091	2091	1502	541	1208	543
map12	98	189	119	95	26	19	76	76	78	23	35	33
map1s	58	36	26	21	175	169	265	265	193	42	140	51
map2	1277	1756	1394	993	963	2261	23161	23161	2765	1120	1843	880
map4	316	222	101	179	71	127	386	386	467	116	307	192
map7	62	80	52	49	15	59	141	141	69	12	48	29
mapk2	1038	807	912	538	113	235	598	598	1988	564	1220	824
mapk3	85	57	76	34	73	152	298	298	533	277	465	307
mapk5	155	245	267	122	112	152	367	367	193	54	140	72
mare1	2821	3900	2269	2257	324	639	4392	4392	5594	2263	3446	1891
mare2	384	274	144	194	166	292	1088	1088	819	251	404	264
marf1	578	569	278	311	345	587	1933	1933	812	167	397	267
marh1	132	149	75	95	91	116	491	491	452	126	390	179
marh2	1108	991	1328	499	538	914	3550	3550	1854	654	1613	554
marh3	49	21	15	34	32	131	756	756	41	14	46	20
marh5	270	322	367	131	40	50	192	192	1073	318	676	332
marh6	669	895	756	505	273	509	1483	1483	1446	533	948	562
marh7	719	1122	842	664	122	184	1329	1329	427	124	481	260
marh8	1100	950	740	654	190	632	4543	4543	415	109	337	164
marh9	62	66	46	25	50	45	62	62	50	12	18	13
mark2	303	326	147	178	86	123	361	361	261	56	166	72
mark3	859	807	766	462	253	433	1659	1659	1039	339	662	297
mark4	109	91	86	65	40	78	157	157	137	52	91	41
mast2	253	359	315	157	124	116	457	457	776	232	351	165
mast3	121	127	50	80	108	80	167	167	281	65	93	78
mast4	35	44	62	30	38	66	129	129	62	18	54	27
mat1	416	1053	406	357	44	117	1215	1215	380	127	239	110
mat2b	440	446	357	301	146	329	803	803	758	256	514	231
matn2	31	26	19	15	21	31	36	36	25	18	11	5
matr3	5258	9432	5615	4403	773	1119	5664	5664	5765	2133	4688	1779
mavs	192	179	93	107	21	46	91	91	296	89	218	92
max	49	50	22	19	27	36	128	128	327	81	211	74
maz	153	154	69	103	82	160	720	720	164	48	66	42
mbb1a	1201	1280	1022	742	534	935	2637	2637	1642	434	1290	601
mbd1	171	159	99	96	69	128	483	483	299	91	263	120
mbd2	1000	1572	1225	645	293	505	2952	2952	755	338	393	201
mbd3	438	601	474	257	106	165	417	417	499	222	342	145
mbd4	310	354	139	204	86	128	531	531	97	44	60	53
mbd5	44	49	19	36	48	79	237	237	174	41	85	50
mbd6	78	82	24	59	73	75	206	206	190	49	79	50
mbnl1	6317	9478	6662	4590	1142	1916	9002	9002	5750	1811	3124	1639
mbnl2	497	678	799	459	172	239	866	866	2338	702	1272	628
mboa1	27	31	12	22	16	44	172	172	126	41	70	44
mboa7	180	209	110	113	221	278	387	387	300	66	219	106
mbp	115	86	54	76	50	63	111	111	64	31	59	39
mbrl	787	729	648	398	280	369	684	684	670	221	424	200
mbtd1	295	503	301	278	232	291	727	727	911	268	494	261
mbtp1	697	873	658	463	198	281	868	868	1029	265	721	356
mcaf1	340	322	188	226	37	47	148	148	385	111	182	135
mcca	164	179	82	110	56	102	312	312	435	128	284	160
mccb	51	82	43	44	15	22	81	81	58	19	50	50
mce1	76	73	35	53	16	40	198	198	508	182	284	206
mces	1070	2050	1334	970	102	148	899	899	1058	347	886	365
mcf2l	41	20	25	23	57	82	135	135	38	10	32	17
mcfd2	53	97	56	68	73	181	753	753	1092	405	782	349
mcl1	7286	8945	6782	4979	859	1525	4777	4777	8807	2542	5403	3302
mcln1	192	248	330	148	76	124	466	466	308	118	254	124
mcln2	29	33	24	16	97	108	230	230	62	29	60	64
mcm10	123	91	19	60	82	192	1362	1362	100	24	40	19
mcm2	1008	772	598	391	194	635	3426	3426	807	259	309	254
mcm3	787	584	526	393	169	615	3147	3147	514	156	204	179
mcm3a	999	1058	794	567	155	284	1147	1147	719	241	436	295
mcm4	1149	1179	627	740	198	531	3521	3521	580	206	258	241
mcm5	561	398	177	209	345	692	2922	2922	784	288	380	248
mcm6	1767	1574	875	926	379	849	7455	7455	1534	528	546	397
mcm7	1123	984	696	530	586	1136	5609	5609	959	372	279	223
mcm8	127	186	89	106	58	98	525	525	307	84	129	65
mcm9	171	227	246	113	18	28	188	188	115	28	85	53
mcmbp	322	269	136	232	335	588	2840	2840	1173	455	733	400
mcph1	92	77	52	56	11	41	174	174	120	44	86	58
mcrs1	263	246	309	158	183	234	566	566	479	157	371	156
mctp1	39	31	78	22	18	25	219	219	135	49	162	41
mctp2	104	109	88	64	228	264	260	260	226	60	138	64
mcts1	222	439	237	151	12	18	115	115	647	286	495	211
mcu	80	63	42	60	64	112	512	512	221	65	141	60
mcur1	67	79	85	55	172	305	1336	1336	547	209	380	230
md12l	91	100	82	65	10	69	566	566	6091	1311	3003	1899
md13l	945	1425	1432	755	258	486	3062	3062	681	173	426	268
md1l1	126	141	102	68	32	70	240	240	301	88	233	106
mdc1	247	271	152	168	212	396	2159	2159	373	80	171	111
mdhc	2115	3909	1364	1656	337	575	3149	3149	3203	1354	2198	867
mdm1	66	84	43	41	32	61	323	323	170	44	70	44
mdm2	289	382	246	263	56	114	641	641	100	38	70	43
mdm4	85	149	98	81	42	47	229	229	79	19	36	30
mdn1	1341	2006	1216	1193	182	291	1002	1002	928	223	640	399
mdr1	156	311	171	268	14	18	47	47	133	44	62	63
mecp2	227	280	110	141	109	205	706	706	325	90	233	119
med1	1012	1278	986	813	95	121	1110	1110	867	195	592	314
med11	146	158	154	102	47	90	268	268	233	109	181	99
med12	405	361	226	289	369	371	1506	1506	661	122	401	238
med13	984	1383	1252	738	236	453	1970	1970	2109	616	1395	619
med14	133	110	50	106	106	156	985	985	496	121	245	185
med15	310	442	355	185	204	185	226	226	395	107	202	117
med16	111	83	49	55	43	81	367	367	129	38	94	60
med17	195	262	178	116	83	149	516	516	343	86	213	135
med20	189	275	83	160	19	47	243	243	165	40	175	61
med22	190	181	87	114	43	99	759	759	1340	294	803	252
med23	513	931	555	519	114	178	1164	1164	734	223	417	248
med24	267	289	182	173	147	272	859	859	265	85	161	90
med25	259	185	122	113	140	240	653	653	273	94	182	88
med26	136	164	101	119	44	64	253	253	124	35	44	25
med4	331	467	221	253	65	98	585	585	624	206	435	169
med8	329	537	383	270	56	79	428	428	510	197	335	169
mef2a	495	601	673	357	234	371	1015	1015	1196	447	869	423
mef2c	2241	3978	2243	1262	382	470	1354	1354	2318	838	1337	813
mef2d	111	66	39	39	20	45	121	121	147	15	58	36
mefv	74	24	18	62	27	13	69	69	41	15	71	37
megf8	241	313	282	166	90	211	495	495	345	73	292	107
megf9	92	56	47	51	12	11	59	59	863	243	324	191
meis2	67	121	113	50	11	20	33	33	168	45	125	42
meis3	91	91	46	55	64	78	141	141	33	10	19	10
melk	138	178	96	89	38	121	1431	1431	228	105	42	26
memo1	402	607	447	273	182	345	1417	1417	542	189	320	164
men1	223	283	174	148	288	353	414	414	345	111	202	82
mento	467	633	510	417	35	67	183	183	842	337	538	238
mep50	5516	7141	5007	3925	58	125	338	338	812	229	622	253
mepce	158	166	25	98	205	214	433	433	348	121	186	96
merl	94	117	55	89	69	96	434	434	255	49	195	70
mertk	722	650	1167	641	68	105	359	359	1123	545	1001	639
mesd1	552	428	179	247	59	186	730	730	581	193	450	125
met15	47	60	25	34	33	60	442	442	152	62	102	35
met16	138	134	80	98	116	148	524	524	67	17	45	26
met17	181	261	201	133	42	42	94	94	201	59	123	69
met18	602	909	1172	439	64	55	325	325	276	90	200	71
met25	185	312	310	151	33	42	120	120	77	30	64	27
meth	313	316	188	183	85	115	298	298	312	59	199	88
metk2	3647	5893	3613	3122	742	1126	3673	3673	1113	267	852	433
metl4	305	406	102	188	23	26	197	197	42	14	28	16
metl8	28	20	9	12	13	42	136	136	39	14	16	19
metl9	391	306	460	208	110	322	1407	1407	670	199	418	204
metla	592	1117	726	472	82	132	442	442	191	62	121	61
mex3c	658	833	533	482	71	150	540	540	579	202	296	158
mf2nb	89	116	67	51	20	32	102	102	361	170	292	118
mfap1	589	761	727	533	183	266	1536	1536	845	271	386	255
mfap3	102	99	20	90	27	64	256	256	191	49	169	82
mff	635	1021	856	567	404	870	5444	5444	707	270	505	264
mfgm	2636	2399	1162	1129	914	1911	4766	4766	1124	290	317	328
mfha1	101	65	18	53	14	27	367	367	100	37	87	31
mfn1	732	1234	1135	667	169	216	1084	1084	986	300	741	299
mfn2	521	557	304	319	96	182	1094	1094	478	163	379	161
mfng	163	262	189	128	124	129	158	158	102	55	56	25
mfr1l	461	478	547	341	80	101	300	300	466	144	345	135
mfrn1	200	114	88	62	416	1237	10075	10075	253	56	180	86
mfrn2	264	268	190	168	79	85	166	166	212	82	152	67
mfs10	121	159	98	79	214	263	399	399	207	54	123	37
mfs11	297	412	572	241	157	337	1139	1139	810	277	494	300
mfsd1	1239	852	1126	933	616	1148	3867	3867	1115	436	710	443
mfsd3	87	135	75	33	24	45	101	101	85	33	68	21
mfsd5	249	238	279	177	88	107	305	305	795	267	556	272
mfsd6	357	528	172	296	43	68	166	166	109	32	68	47
mfsd8	202	337	318	144	37	49	134	134	91	38	62	36
mftc	103	105	39	62	45	54	325	325	125	47	152	50
mgap	996	1505	774	881	372	513	1683	1683	1619	399	931	521
mgat1	288	310	187	129	269	447	792	792	1349	553	1357	435
mgat2	1384	1695	649	947	222	408	1663	1663	577	193	621	234
mgme1	168	352	95	122	44	106	941	941	254	110	210	96
mgrn1	213	133	72	96	62	143	449	449	207	59	159	67
mgt4a	236	522	77	294	103	134	483	483	257	98	286	159
mgt4b	186	203	176	89	77	152	248	248	610	219	450	183
mgt5a	181	232	121	139	32	46	174	174	301	46	256	155
mia3	811	889	749	495	225	407	1614	1614	1166	364	755	508
mib1	146	161	85	109	63	94	455	455	232	29	145	89
mib2	455	566	325	286	142	132	231	231	159	42	95	41
MIC1	235	358	339	170	95	147	471	471	513	194	325	146
mica1	520	446	197	224	282	297	441	441	1703	432	1178	1019
mica2	82	122	103	70	61	112	823	823	184	28	359	118
mica3	191	233	127	130	189	271	917	917	455	118	257	147
micu1	516	654	425	415	43	90	525	525	663	312	557	306
micu2	436	701	380	354	163	279	765	765	703	318	564	229
micu3	65	140	94	53	27	26	149	149	343	121	316	120
mid49	68	87	35	36	20	25	74	74	81	30	60	32
mid51	83	65	27	35	19	57	130	130	72	18	67	21
midn	110	91	36	49	119	226	705	705	148	44	84	51
mier1	1557	2175	2168	1239	203	415	3410	3410	2134	733	1341	586
mier2	59	54	39	31	44	46	42	42	50	17	28	31
mier3	608	866	375	547	116	145	653	653	1175	373	804	350
milk1	158	146	118	85	85	75	298	298	258	58	141	78
milk2	28	19	22	20	250	228	706	706	66	23	64	26
mina	265	424	285	236	88	109	308	308	395	143	408	138
mink1	650	750	653	404	362	310	576	576	452	132	244	129
minp1	383	401	178	221	236	1049	6924	6924	1452	392	1372	325
mint	356	303	214	214	203	295	1192	1192	384	68	221	162
mio	594	957	630	500	164	169	842	842	595	170	387	208
mipep	274	272	150	162	39	83	343	343	215	64	199	58
mipo1	61	115	36	64	5	18	164	164	128	35	81	28
mipt3	239	353	312	205	96	95	309	309	113	17	40	36
miro1	703	1162	938	583	150	274	1743	1743	613	168	529	221
miro2	298	468	350	131	163	111	188	188	490	127	300	96
missl	318	362	297	214	19	19	105	105	221	51	145	88
mitd1	77	65	34	26	109	136	760	760	693	250	377	205
mk01	1726	1983	1254	1128	66	80	512	512	2342	844	1415	728
mk06	572	476	740	437	89	154	665	665	634	176	343	254
mk07	69	58	13	34	21	34	46	46	75	12	27	14
mk08	207	302	343	156	101	165	319	319	97	47	97	44
mk09	83	81	70	59	236	345	1886	1886	66	25	67	30
mk14	595	703	406	455	520	1036	2963	2963	191	48	138	70
mkks	297	513	291	187	151	243	950	950	683	234	447	234
mkl1	483	418	215	227	266	291	331	331	378	136	188	134
mkl2	50	94	87	22	16	26	66	66	153	30	87	38
mkln1	482	713	366	449	86	175	1065	1065	963	362	651	301
mknk1	172	191	99	93	48	74	218	218	160	46	124	61
mknk2	939	1109	648	498	292	490	1071	1071	352	68	174	90
mkrn2	530	565	406	292	28	66	148	148	740	217	503	181
mks1	232	322	192	142	126	113	254	254	50	12	24	13
mks3	181	278	181	152	35	55	287	287	178	50	168	70
mlec	488	427	132	287	102	183	1568	1568	232	60	165	83
mlh1	409	613	497	352	73	101	346	346	309	84	169	100
mlh3	442	842	308	475	25	36	130	130	355	144	241	150
mltk	77	154	190	91	27	52	182	182	98	19	47	41
mlx	53	95	60	48	150	189	683	683	916	237	573	318
mlxip	790	1247	1076	452	94	110	243	243	503	118	224	168
mmaa	155	275	184	87	50	111	416	416	102	27	108	40
mmad	804	1094	1094	634	173	305	1860	1860	951	360	847	310
mmgt1	116	137	108	88	38	75	174	174	353	112	306	154
mmp12	2735	1169	2067	1358	190	344	1243	1243	16	14	19	20
mmp14	311	265	506	159	66	158	459	459	583	204	546	211
mmp2	15	37	40	18	26	32	90	90	49	12	35	14
mmp9	61	59	297	22	55	366	617	617	178	48	130	162
mmrn1	36	160	76	32	224	588	3299	3299	303	79	87	79
mmrn2	65	105	124	65	41	73	284	284	242	110	428	107
mms19	322	354	369	233	162	197	463	463	449	123	287	144
mms22	136	164	72	97	50	131	1050	1050	239	60	107	72
mmsa	77	98	86	73	12	14	41	41	138	42	94	74
mmta2	63	76	32	31	19	29	98	98	132	39	103	40
mns1	153	310	186	139	9	16	76	76	103	26	62	27
mnt	188	183	183	121	65	104	226	226	251	66	139	75
mo4l2	1606	2598	1195	1457	314	517	2829	2829	1633	672	1292	636
mob1a	4038	6468	3009	3195	86	105	797	797	1818	467	1497	544
mob2	218	187	197	134	111	202	575	575	229	101	147	86
mob3a	292	308	88	135	124	145	507	507	47	7	18	11
mob3b	189	518	311	145	76	131	311	311	24	13	41	15
mocs1	148	131	111	59	54	183	558	558	109	45	114	62
mocs3	102	101	37	62	45	88	318	318	109	30	75	29
mod5	303	523	186	226	104	102	350	350	233	82	147	66
moes	2846	1921	1003	1510	1370	2068	5887	5887	9022	2998	5113	2939
mogs	494	614	363	294	87	171	347	347	459	144	273	121
mon1a	82	93	31	37	59	100	208	208	286	99	152	56
mon1b	104	112	50	43	82	135	315	315	277	87	220	96
mon2	248	421	314	217	121	175	811	811	615	170	455	205
morc2	289	409	178	199	121	216	487	487	247	43	136	73
morc3	96	126	83	106	187	293	1106	1106	1383	359	964	425
morc4	35	49	65	29	24	34	71	71	91	28	98	24
mot1	568	606	457	358	284	914	10490	10490	170	51	129	83
mot10	73	197	63	44	10	20	200	200	244	99	159	42
mot13	79	61	38	45	18	17	36	36	182	46	97	52
mot4	211	96	62	128	26	96	189	189	324	124	330	168
mot7	287	449	391	236	127	304	2725	2725	703	204	583	324
mot8	12	18	13	6	21	50	116	116	257	60	213	70
mot9	41	52	43	41	5	22	145	145	640	260	804	292
mov10	444	327	286	205	121	145	326	326	305	90	137	99
mp2k2	294	284	330	191	293	725	2076	2076	549	144	320	149
mp2k3	514	580	441	243	302	528	1978	1978	248	73	152	62
mp2k4	271	353	392	186	82	126	622	622	162	47	127	57
mp2k5	197	237	263	119	61	97	236	236	152	75	122	58
mp2k6	66	113	45	72	14	19	45	45	77	37	71	11
mp2k7	1656	1612	568	1522	42	74	214	214	172	42	100	44
mpdz	233	532	249	224	36	60	122	122	195	47	171	69
mpeg1	3933	1718	1056	1782	508	1108	4391	4391	8425	1999	7296	4086
mpi	75	76	25	56	88	74	107	107	349	101	212	78
mpip1	240	272	212	183	170	196	795	795	123	47	74	46
mpip2	676	769	605	318	357	724	3693	3693	909	268	420	191
mpip3	48	58	26	25	17	63	332	332	108	28	24	8
mpnd	101	117	70	42	48	33	65	65	149	61	125	44
mpp10	620	679	978	588	119	215	775	775	514	230	323	199
mpp2	65	56	26	51	18	32	356	356	73	9	31	11
mpp5	51	86	38	55	49	81	417	417	692	217	534	189
mpp6	261	470	282	310	44	64	222	222	101	21	50	21
mpp7	94	133	67	120	35	63	157	157	64	8	18	22
mpp8	993	1432	1119	764	194	260	716	716	768	201	372	214
mpp9	222	357	89	224	33	91	902	902	199	52	78	49
mppa	410	389	270	249	268	343	985	985	190	68	111	63
mppb	1126	1992	1468	1039	223	328	1999	1999	2010	810	1440	723
mpri	670	551	458	505	216	583	2099	2099	885	238	564	365
mprip	261	303	244	182	98	218	969	969	383	109	369	133
mrc1	74	182	272	93	92	364	1681	1681	949	318	1082	669
mrc2	24	32	13	30	19	30	52	52	526	297	426	93
mrcka	286	319	222	193	202	545	2515	2515	591	154	516	174
mrckb	277	280	212	162	191	223	422	422	673	157	548	261
mrckg	12	35	15	7	51	65	104	104	132	35	84	46
mre11	685	972	893	495	63	79	608	608	111	34	108	53
mrm1	68	48	43	26	128	203	614	614	116	35	59	27
mroh1	124	139	129	89	163	131	208	208	309	84	253	137
mrp	492	777	236	194	52	78	225	225	242	64	108	83
mrp1	174	192	181	130	95	158	460	460	388	107	225	123
mrp5	121	141	80	127	299	384	922	922	99	29	45	18
mrrp1	410	581	199	303	95	169	758	758	1221	431	962	391
mrrp3	32	62	15	34	19	24	275	275	62	10	29	17
mrs2	91	133	111	61	18	29	179	179	61	19	52	21
ms18a	70	81	78	53	31	72	366	366	137	52	60	45
ms3l1	163	182	110	142	117	111	375	375	571	198	336	156
msd2	377	748	650	315	258	383	486	486	407	100	165	82
msd4	465	655	308	452	31	62	243	243	37	14	27	8
msh2	913	1178	770	622	88	200	1748	1748	1017	331	634	304
msh3	258	422	260	222	66	87	567	567	200	81	125	63
msh6	803	1341	562	742	303	488	1984	1984	1702	494	870	444
msi2h	50	42	34	30	6	18	60	60	88	25	57	41
msl1	715	944	619	601	99	165	554	554	392	111	157	110
msl2	1503	1918	1058	1076	122	219	853	853	1190	311	483	358
msln	195	372	264	158	31	17	21	21	40	13	81	17
msmo1	84472	190465	142244	87446	80	126	352	352	1735	646	1610	750
mspd1	63	108	51	64	15	29	246	246	269	97	176	65
mspd2	121	139	59	104	30	46	287	287	373	137	320	134
msrb3	182	357	517	179	65	85	208	208	114	14	31	30
msre	1393	862	1819	1109	523	1273	6888	6888	473	287	534	363
mst4	491	632	129	462	112	125	433	433	586	166	207	141
msto1	55	70	32	35	97	69	139	139	92	30	61	30
mta1	227	186	166	112	70	129	284	284	245	92	120	65
mta2	956	972	783	636	504	894	4098	4098	1363	393	844	446
mta3	111	139	79	80	88	135	635	635	99	51	84	45
mta70	690	927	511	519	70	95	280	280	277	90	186	81
mtbp	242	324	245	192	21	43	291	291	127	47	62	21
mtch1	729	682	426	411	169	400	1075	1075	1444	424	1127	387
mtch2	760	790	762	527	235	436	2371	2371	1419	580	828	489
mtdc	1123	1769	591	1023	132	316	4692	4692	254	86	200	129
mter1	487	989	750	471	75	105	630	630	235	104	139	83
mter2	198	287	68	210	44	56	155	155	176	80	103	53
mtf2	276	429	146	238	172	268	1459	1459	587	208	367	134
mtfr1	233	285	249	136	56	112	515	515	142	50	129	51
mtfr2	26	29	29	8	39	130	953	953	264	72	69	61
mtg1	38	64	35	18	112	133	237	237	216	60	124	62
mtg16	44	40	9	24	38	58	179	179	83	27	50	30
mtg8r	39	58	39	33	16	32	116	116	86	28	81	45
mthr	200	222	156	124	14	42	55	55	201	41	112	54
mtl13	149	142	96	81	36	68	225	225	425	150	383	162
mtl14	380	317	104	241	128	125	634	634	395	111	267	106
mtl2a	207	234	94	146	83	96	258	258	386	137	281	122
mtm1	165	193	181	145	69	122	542	542	728	293	606	251
mtmr1	435	517	540	288	103	138	334	334	671	283	412	284
mtmr2	396	433	436	260	190	344	1887	1887	135	38	115	46
mtmr3	407	413	387	313	167	424	2086	2086	730	207	499	248
mtmr4	519	650	349	324	163	290	1627	1627	759	213	516	197
mtmr5	784	828	638	418	365	480	1162	1162	1039	282	482	305
mtmr6	415	623	513	365	119	176	861	861	1536	555	1105	483
mtmr9	1229	1446	1493	730	532	526	1221	1221	418	107	277	205
mtmra	975	1581	1972	690	182	370	1819	1819	384	127	233	129
mtmrc	505	898	265	503	311	416	1595	1595	903	285	575	231
mtmrd	267	445	323	234	47	73	259	259	1109	328	750	410
mtmre	643	697	576	316	178	238	547	547	615	183	373	199
mtna	92	79	44	46	52	65	90	90	400	135	253	73
mto1	69	70	40	41	130	179	763	763	84	16	64	31
mtor	599	591	518	386	97	226	737	737	395	79	207	151
mtrr	48	53	27	36	82	90	228	228	43	14	32	14
mtss1	133	202	169	102	23	46	165	165	1226	356	762	391
mtssl	78	92	61	64	99	101	175	175	378	87	268	101
mtu1	154	213	92	90	35	59	149	149	63	17	28	15
mtus1	412	869	1243	329	139	217	1325	1325	251	83	344	105
mtx2	367	556	492	253	80	181	851	851	292	108	215	104
muc18	39	56	77	30	37	67	121	121	34	20	67	51
muc24	4889	5123	5010	2413	1442	2671	11600	11600	5897	2052	3900	1966
mul1	208	212	138	114	52	110	246	246	429	162	381	153
mum1	247	293	158	145	315	343	862	862	261	84	175	79
mus81	176	158	67	112	117	114	193	193	244	72	151	57
muta	286	404	358	215	121	243	653	653	416	130	273	156
mutyh	126	216	53	94	14	17	41	41	41	10	32	14
mvp	942	856	286	560	384	704	1230	1230	4028	1202	3082	1366
my18a	581	811	458	406	344	414	1003	1003	1306	406	784	430
myb	216	169	115	147	72	286	1722	1722	104	11	24	30
myba	28	189	22	20	27	15	229	229	264	47	49	17
mybb	123	82	50	44	216	524	2930	2930	370	100	108	71
myc	636	785	349	387	234	559	1094	1094	468	210	297	196
mycb2	3129	3840	2488	2238	385	652	2043	2043	2763	546	1529	850
mycbp	402	778	454	346	23	61	413	413	737	313	439	200
mycl1	169	230	70	110	10	28	49	49	32	18	34	14
mycpp	576	970	277	477	435	1057	8949	8949	1132	337	729	540
myef2	494	728	699	248	31	37	161	161	71	25	58	26
myg1	71	105	68	49	90	155	469	469	162	53	145	57
myh11	75	143	90	58	59	60	96	96	86	23	40	34
myh9	5289	5732	3207	3572	1480	2430	7480	7480	11045	2878	7029	3847
myl6	4273	6442	5985	3837	1183	1604	6951	6951	15465	6449	8719	4336
mylip	1229	1822	1556	971	364	580	1226	1226	288	83	149	95
mylk	500	754	855	534	139	172	657	657	527	105	580	252
mynn	246	416	129	243	95	149	958	958	945	325	744	305
myo10	20	10	16	4	29	34	164	164	721	266	648	286
myo19	307	415	354	219	78	103	384	384	406	131	203	147
myo1b	210	501	953	241	77	115	230	230	411	170	608	235
myo1c	369	443	189	229	94	166	721	721	1792	581	1328	590
myo1d	34	53	28	21	25	36	231	231	144	36	80	54
myo1e	330	292	114	168	180	242	396	396	255	65	133	89
myo1f	1062	636	702	640	410	510	790	790	780	234	533	374
myo1g	1242	1280	422	840	1107	850	834	834	2012	564	929	547
myo5a	146	199	102	121	22	52	212	212	706	175	377	288
myo6	81	97	76	68	13	13	157	157	83	18	83	31
myo9a	393	277	147	239	101	164	774	774	761	160	656	342
myo9b	959	832	484	499	485	732	1764	1764	1458	364	1177	635
myof	232	226	266	190	54	77	238	238	531	226	474	339
myome	274	314	194	172	48	74	266	266	405	116	308	109
mypc1	27	41	65	17	560	329	324	324	57	15	133	53
mypr	22	52	45	27	56	67	98	98	192	72	152	61
mypt1	2309	3540	2320	1821	362	475	2244	2244	2564	831	1625	922
mypt2	113	62	29	66	24	25	149	149	3383	992	2211	1262
mysm1	1178	2137	1691	1162	51	54	226	226	233	54	117	70
myzap	171	342	210	215	21	25	83	83	10223	4240	5504	2941
n42l1	325	607	166	309	47	63	194	194	691	265	395	225
n42l2	774	1404	816	712	141	252	1830	1830	1570	529	1123	498
n4bp1	1165	1101	1088	691	50	89	328	328	130	17	91	80
n4bp2	72	134	100	55	33	54	225	225	251	42	128	110
naa15	1455	2083	1408	1075	466	723	4032	4032	1330	471	1056	490
naa16	69	82	110	57	65	49	120	120	69	6	30	14
naa25	262	325	203	250	241	306	978	978	440	124	341	187
naa30	345	472	321	227	126	212	1096	1096	370	100	213	87
naa35	410	719	306	393	110	190	786	786	620	236	424	231
naa50	2437	3353	2287	1623	544	983	5042	5042	2496	816	1906	798
naa60	157	151	62	98	45	83	294	294	210	51	115	48
naaa	1195	957	929	777	117	183	490	490	372	176	243	172
nab1	973	1395	543	728	214	297	1189	1189	537	192	360	187
nac1	38	16	28	22	76	121	535	535	132	24	110	70
nacc1	176	158	114	83	45	113	357	357	249	57	150	67
nadap	264	300	171	167	70	89	303	303	367	126	191	124
nade	253	297	160	168	108	86	121	121	261	75	183	90
nadk	1295	893	785	737	417	640	1739	1739	1269	426	1166	631
naf1	126	120	64	74	11	37	136	136	97	29	64	28
nagab	331	288	265	201	95	209	591	591	399	139	310	146
nagk	262	251	157	133	106	113	292	292	521	221	372	214
nagpa	124	108	121	76	81	75	172	172	102	15	65	42
nagt1	18	29	23	13	16	32	42	42	88	16	63	44
naif1	118	149	59	65	8	19	34	34	49	19	28	8
nakd2	253	422	196	220	109	242	2271	2271	440	149	287	110
nal12	70	94	43	61	26	56	126	126	311	79	284	126
nalp1	414	601	195	414	145	126	197	197	125	26	96	51
nalp3	155	113	78	130	52	45	144	144	497	205	509	268
nampt	1474	1117	786	891	160	240	1371	1371	1131	407	983	512
nanp	357	567	305	259	67	142	534	534	422	173	352	134
nap1	178	361	265	152	34	53	152	152	88	36	84	35
napep	115	176	69	85	235	480	3285	3285	134	33	89	55
narf	80	64	33	32	34	97	1048	1048	235	94	181	81
narfl	151	233	165	105	115	145	385	385	248	86	165	88
narg2	107	88	50	64	21	39	185	185	261	55	126	82
nasp	908	1181	767	771	227	489	3987	3987	993	385	568	366
nat10	587	681	339	324	172	266	891	891	386	90	359	160
nav1	112	113	129	86	14	22	56	56	135	27	60	51
nb5r1	184	270	338	142	76	111	299	299	93	46	50	28
nb5r4	440	584	344	218	86	70	253	253	501	164	318	148
nb5r5	159	137	60	60	29	22	38	38	36	18	47	18
nbas	311	352	201	198	134	238	1039	1039	329	79	230	122
nbel1	28	71	30	36	7	19	70	70	72	19	95	34
nbel2	737	360	182	371	274	327	464	464	446	98	246	182
nbn	1654	2845	2980	1377	252	403	2014	2014	1449	532	1220	587
nbr1	1640	2109	1414	1352	382	776	3439	3439	2526	744	1609	982
ncbp1	672	833	389	412	154	263	1324	1324	905	299	547	291
ncbp2	1220	2111	1017	1018	57	102	715	715	441	139	288	143
ncdn	467	450	401	220	229	285	525	525	253	88	171	123
nceh1	61	44	23	52	16	38	315	315	85	31	58	31
ncf1	463	404	135	259	51	110	135	135	640	194	313	172
ncf2	337	246	348	198	159	258	666	666	390	119	219	177
ncf4	416	286	193	213	485	421	731	731	1559	631	850	501
nck1	641	654	514	486	85	156	744	744	484	154	344	139
nck2	163	171	227	112	79	154	662	662	494	170	284	149
